The word,English Meaning 1,English Meaning 2,Arabic Meaning
literature,pieces of writing or printed information on a particular subject,,الادب
trade,to look for customers; passengers; etc. in order to do business,to do your work or business,التجاره
mental,connected with the state of health of the mind or with the treatment of illnesses of the mind,,العقليه
soil,a country; an area of land,,التربه
potential,that can develop into something or be developed in the future,,المحتمله
variety,several different sorts of the same thing,the quality of not being the same or not doing the same thing all the time,متنوعه
demand,done or happening whenever somebody asks,,الطلب
equipment,the things that are needed for a particular purpose or activity,the process of providing a place or person with necessary things,المعدات
purchase,to buy something,,شراء
worth,in order to get as much as you can from somebody/something,used to emphasize that what you are saying is only your own opinion or suggestion and may not be very helpful,يستحق
purpose,the intention; aim or function of something; the thing that something is supposed to achieve,what is needed in a particular situation,الغرض
tend,to be likely to do something or to happen in a particular way because this is what often or usually happens,to take a particular direction or often have a particular quality,تميل
thus,in this way; like this,as a result of something just mentioned,هكذا
perform,to entertain an audience by playing a piece of music; acting in a play; etc.,to do something; such as a piece of work; task or duty,تنفيذ
proper,that you consider to be real and of a good enough standard,according to the most exact meaning of the word,المناسبه
throughout,in or into every part of something,,طوال
appropriate,suitable; acceptable or correct for the particular circumstances,,المناسبه
combination,two or more things joined or mixed together to form a single unit,the act of joining or mixing together two or more things to form a single unit,تركيبه
content,the amount of a substance that is contained in something else,the information or other material contained on a website or other digital media,المحتوي
craft,an activity involving a special skill at making things with your hands,skill in making people believe what you want them to believe,الحرفيه
due,arranged or expected,owed to somebody as a debt; because it is their right or because they have done something to deserve it,سبب
philosophy,the study of the nature and meaning of the universe and of human life,a particular set or system of beliefs resulting from the search for knowledge about life and the universe,الفلسفه
eventually,at the end of a period of time or a series of events,,اخيرا
reserve,a piece of land that is a protected area for animals; plants; etc.,an area of land in the US that is kept separate for Native Americans to live in,الاحتياطي
significant,large or important enough to have an effect or to be noticed,having a particular meaning,كبيره
chemistry,the chemical structure and behaviour of a particular substance,,الكيمياء
disease,an illness affecting humans; animals or plants; often caused by infection,something that is very wrong with people’s attitudes; way of life or with society,المرض
pregnant,full of a quality or feeling,,حامل
certainly,without doubt,of course,التاكيد
concerned,interested in something; dealing with something,to think it is important to do something,المعنيه
discipline,the practice of training people to obey rules and orders and punishing them if they do not; the ,a method of training your mind or body or of controlling your behaviour; an area of activity where this is necessary,الانضباط
prepare,to make yourself ready to do something or for something that you expect to happen,,اعداد
medium,in the middle between a larger and smaller size; amount; length; temperature; etc.,used to describe what will happen a long; short; etc. time in the future,المتوسطه
apartment,a set of rooms used for a holiday,a room in a house; especially a large or famous house,شقه
bit,a short time or distance,a small amount or piece of something,بت
straight,not in a curve or at an angle; in a straight line,in or into a level or ,مباشره
achieve,to succeed in reaching a particular goal; status or standard; especially by making an effort for a long time,to succeed in doing something or causing something to happen,تحقيق
beyond,on or to the further side of something,later than a particular time,وراء
intelligent,good at learning; understanding and thinking in a logical way about things; showing this ability,able to store information and use it in new situations,ذكي
junior,having a low rank in an organization or a profession,(especially in the US) used after the name of a man who has the same name as his father; to make it clear who is being referred to,جونيور
pretty,almost; almost completely,,جميل
competition,the people who are competing against somebody,,المنافسه
distribution,the act of giving or sharing something out among a number of people,the system of transporting and delivering a product,توزيع
entertainment,the act of inviting people to eat or drink with you as your guests,,الترفيه
population,all the people who live in a particular area; city or country; the total number of people who live there,a particular group of people or animals living in a particular area,السكان
president,the leader of a ,the person in charge of some organizations; clubs; colleges; etc.,الرئيس
attempt,an effort to do better than something; such as a very good performance in sport,,محاوله
cigarette,a thin tube of paper filled with ,,السجائر
opportunity,a time when a particular situation makes it possible to do or achieve something,,الفرصه
willing,not objecting to doing something; having no reason for not doing something,,استعداد
bright,full of light; shining strongly,giving reason to believe that good things will happen; likely to be successful,مشرق
constantly,all the time; repeatedly,,استمرار
despite,used to show that something happened or is true although something else might have happened to prevent it,,رغم
properly,in a way that is correct and/or appropriate,in a way that is socially or morally acceptable,صحيح
specifically,in a detailed and exact way,used when you want to add more detailed and exact information,تحديدا
brush,to clean; ,to remove or try to remove something from a place or surface with a brush or with your hand,فرشاه
debate,a formal discussion of an issue at a public meeting or in a parliament. In a debate,an argument or a discussion expressing different opinions,المناقشه
expect,to think or believe that something will happen or that somebody will do something,to demand that somebody will do something because it is their duty or responsibility,نتوقع
experienced,having knowledge or skill in a particular job or activity,having knowledge as a result of doing something for a long time; or having had a lot of different experiences,ذوي الخبره
immediately,without delay,next to or very close to a particular place or time,فورا
lack,the state of not having something or not having enough of something,,عدم
spot,a particular area or place,a small feature or part of somebody/something with a particular quality,بقعه
association,a connection or relationship between people or organizations,an idea or a memory that is suggested by somebody/something; a mental connection between ideas,رابطه
desire,a strong wish to have sex with somebody,,الرغبه
express,to show or make known a feeling; an opinion; etc. by words; looks or actions,to represent something in a particular way; for example by symbols,اكسبريس
inflation,a general rise in the prices of services and goods in a particular country; resulting in a fall in the value of money; the rate at which this happens,a general rise in the level of something that is awarded,التضخم
insurance,the business of providing people with insurance,money paid by or to an insurance,التامين
upon,used; especially at the beginning of stories; to mean ‘a long time ago in the past’,if something in the future is almost upon you,علي
typical,happening in the usual way; showing what something is usually like,behaving in the way that you expect,نموذجيه
afford,to have enough money to be able to buy or do something,if you say that you can’t afford,تحمل
competitive,trying very hard to be better than others,as good as or better than others,تنافسيه
expression,a group of signs that represent an idea or a quantity,,التعبير
remain,to continue to be something; to be still in the same state or condition,to still be present after the other parts have been removed; used; etc.; to continue to exist,تظل
spread,to cover; or to make something cover; a larger and larger area,to place the ,انتشار
tough,demanding that particular rules be obeyed and showing a lack of sympathy for any problems that this may cause,physically strong and likely to be violent,صعبه
ultimately,in the end; finally,at the most basic and important level,في نهاية المطاف
environmental,connected with the natural conditions in which people; animals and plants live; connected with the environment,connected with the conditions that affect the behaviour and development of somebody/something,البيئيه
foundation,an organization that is established to provide money for a particular purpose; for example for scientific research or charity,the act of starting a new institution or organization,مؤسسه
perspective,a particular attitude towards something; a way of thinking about something,the art of creating an effect of depth and distance in a picture by representing people and things that are far away as being smaller than those that are nearer the front,منظور
recipe,a set of instructions that tells you how to cook something and the ,a method or an idea that seems likely to have a particular result,وصفه
relevant,closely connected with the subject you are discussing or the situation you are in,the fact of being valuable and useful to people in their lives and work,ذات الصله
rely,to need or depend on somebody/something,to trust or have confidence in somebody/something,تعتمد
accurate,correct and true in every detail,an accurate,دقيقه
bowl,the amount contained in a bowl,the part of some objects that is like a bowl in shape,وعاء
bridge,a thing that provides a connection or contact between two different things,the part of a ship where the captain and other officers stand when they are controlling the ship,جسر
capable,having the ability or qualities necessary for doing something,,قادره
depression,the state of feeling very sad and without hope,a weather condition in which the pressure of the air becomes lower; often causing rain,الاكتئاب
dump,to get rid of something you do not want; especially in a place that is not suitable,to get rid of goods by selling them at a very low price; often in another country,تفريغ
evidence,the information that is used in court to try to prove something,(considering) the evidence on both sides of an argument; to find the most likely reason for or result of something,الادله
extreme,very great in degree,,المدقع
naturally,without special help; treatment or action by somebody,in a relaxed and normal way,الطبيعي
novel,a story long enough to fill a complete book; in which the characters and events are usually imaginary,the type of literature that novels represent,روايه
obtain,to exist,,الحصول
occasionally,sometimes but not often,,احيانا
passion,a very strong feeling of liking something; a hobby; an activity; etc. that you like very much,,العاطفه
percentage,a share of the profits of something,,النسبه المئويه
plenty,a large amount; as much or as many as you need,,الكثير
agency,a business or an organization that provides a particular service especially when representing other businesses or organizations,a government department that provides a particular service,الوكاله
criticism,the act of expressing ,,الانتقادات
debt,a sum of money that somebody owes,the situation of owing money; especially when you cannot pay,الديون
depend,used to say that you are not certain about something because other things have to be considered,,تعتمد
dish,any object that is like a dish or bowl in shape,,طبق
efficient,doing something in a good; careful and complete way with no waste of time; money or energy,,كفاءه
essentially,when you think about the true; important or basic nature of somebody/something ,,اساسا
joint,involving two or more people together,,المشتركه
muscle,a piece of body ,the power and influence to make others do what you want,العضلات
patience,the ability to stay calm and accept a delay or something annoying without complaining,the ability to spend a lot of time doing something difficult that needs a lot of attention and effort,الصبر
pitch,the degree or strength of a feeling or activity; the highest point of something,talk or arguments used by a person trying to sell things or persuade people to do something,الملعب
slightly,a little,a slightly built,قليلا
treat,to behave in a particular way towards somebody/something,to consider something in a particular way,علاج
vast,extremely large in area; size; amount; etc.,,واسعه
abuse,the use of something in a way that is wrong or harmful,unfair; cruel or violent treatment of somebody,اساءه استعمال
appeal,a deeply felt request for money; help or information that is needed immediately; especially one made by a charity or by the police,a formal request to a court or to somebody in authority for a judgement or a decision to be changed,الاستئناف
appreciate,to increase in value over a period of time,,نقدر
attitude,confident; sometimes aggressive behaviour that shows you do not care about other people’s opinions and that you want to do things in an individual way,to hold your body in a particular way to create a particular impression,موقف
beat,to defeat somebody in a game or competition,to avoid something,فاز
burn,to produce flames and heat,if food burns,حرق
chart,a diagram; lists of figures; etc. that shows information,a detailed map of the sea,التخطيط
deposit,a sum of money that is paid by somebody when they rent something and that is returned to them if they do not lose or damage the thing they are renting,(in the British political system) the amount of money that a candidate in an election to Parliament has to pay; and that is returned if he/she gets enough votes,ايداع
raise,to lift or move something to a higher level,to move somebody/something/yourself to a standing; sitting or ,رفع
regularly,often,in an even or balanced way,منتظمه
severe,extremely plain and without any decoration,,الشديد
spirit,courage; energy or purpose,the typical or most important quality or mood of something,روح
suitable,right or appropriate for a particular purpose or occasion,,مناسبه
argument,a conversation or discussion in which two or more people disagree; often angrily,the act of disagreeing in a conversation or discussion using a reason or set of reasons,الوسيطه
belt,unfair or cruel,taking more actions than are really necessary to make sure that something succeeds or works as it should,حزام
bench,a judge in court or the seat where he/she sits; the position of being a judge or ,(in the British parliament) a seat where a particular group of politicians sit,مقعد
complaint,a reason for not being satisfied; a statement that somebody makes saying that they are not satisfied,the act of complaining,الشكوي
consist,to have something as the main or only part or feature,to be formed from the people or things mentioned,تتكون
contribute,to give something; especially money or goods; to help achieve or provide something,to be one of the causes of something,ساهم
differ,if two people agree to differ/disagree,used to say politely that you do not agree with something that has just been said,تختلف
emphasis,special importance that is given to something,the extra force given to a word or phrase when spoken; especially in order to show that it is important; a way of writing a word (for example drawing a line below it) to show that it is important,التركيز
encourage,to give somebody support; courage or hope,to persuade somebody to do something by making it easier for them and making them believe it is a good thing to do,تشجيع
firm,a business or company,,شركه
literally,used to emphasize the truth of something that may seem surprising,used to emphasize a word or phrase; even if it is not actually true in a ,حرفيا
merely,used meaning ‘only’ or ‘simply’ to emphasize a fact or something that you are saying,,مجرد
numerous,existing in large numbers ,,العديد
possession,something that you own or have with you at a particular time,the state of having or owning something,حيازه
preparation,the act or process of getting ready for something or making something ready,,اعداد
prove,to use facts; evidence; etc. to show that something is true,if something proves,اثبات
sit,to put somebody in a sitting position,to meet in order to do official business,الجلوس
steak,a large thick piece of fish,,شريحة اللحمة
sufficient,enough for a particular purpose; as much as you need,,كافيه
consistent,always behaving in the same way; or having the same opinions; standards; etc.,having different parts that all agree with each other,متسقه
currency,the system of money that a country uses,the fact that something is used or accepted by a lot of people,دقة
duty,something that you feel you must do; a responsibility which cannot be ignored,while doing a job,واجب
emphasize,to give special importance to something,to make something easier to notice,اؤكد
entry,an act of going into or getting into a place,the right or opportunity to enter a place,ادخال
juice,the liquid that comes from fruit or vegetables; a drink made from this,,عصير
minor,not very large; important or serious,,طفيفه
mixture,a combination of different things,,خليط
nor,and not,,لا
roughly,using force or not being careful and gentle,in a way that does not leave a smooth surface,تقريبا
significantly,in a way that has a particular meaning,in a way that has a special or secret meaning,كبيره
substance,a type of solid; liquid or gas that has particular qualities,a drug; especially an illegal one,مضمون
tradition,a belief; custom or way of doing something that has existed for a long time among a particular group of people; a set of these beliefs or customs,,التقاليد
weird,very strange or unusual and difficult to explain,used to show that ‘funny’ is being used with the meaning of ‘strange’,غريبه
anticipate,to see what might happen in the future and take action to prepare for it,to think with pleasure and excitement about something that is going to happen,توقع
cream,a sweet that has a soft substance like cream,,كريم
crew,all the people working on a ship; plane; etc.,all the people working on a ship; plane etc. except the officers who are in charge,طاقم
doubt,a feeling of being uncertain about something or not believing something,,شك
examine,to look at somebody/something closely; to see if there is anything wrong or to find the cause of a problem,to give somebody a test to see how much they know about a subject or what they can do,دراسه
impress,to make somebody understand how important; serious; etc. something is by emphasizing it,,اقناع
obvious,that most people would think of or agree to,not interesting; new or showing imagination; unnecessary because it is clear to everyone,واضحه
participate,to take part in or become involved in an activity,,المشاركه
screw,to be attached by ,to have sex with somebody,المسمار
seek,to look for something/somebody,to ask somebody for something; to try to obtain or achieve something,تسعي
strip,a long narrow piece of paper; metal; cloth; etc.,a long narrow area of land; sea; etc.,قطاع
tension,a situation in which people do not trust each other; or feel unfriendly towards each other; and that may cause them to attack each other,,التوتر
variation,a change; especially in the amount or level of something,a thing that is different from other things in the same general group,التباين
awareness,knowing something; knowing that something exists and is important,interest in and concern about a particular situation or area of interest,الوعي
bone,so honest or clearly expressed that it is likely to cause offence to some people,to reduce something; such as costs; as much as you possibly can,العظام
cap,a type of soft flat hat with a ,an artificial cover for a damaged tooth,غطاء
climate,the regular pattern of weather conditions of a particular place,an area with particular weather conditions,المناخ
combine,to come together to form a single thing or group; to join two or more things or groups together to form a single one,to have two or more different features or characteristics; to put two or more different things; features or qualities together,الجمع بين
construction,the process or method of building or making something; especially roads; buildings; bridges; etc.,the people and activities involved in making buildings,البناء
contest,a competition in which people try to win something,,المسابقه
court,the people in a court,the official place where kings and queens live,المحكمه
garage,a place where vehicles are repaired and/or where you can buy a car or buy petrol and oil,a type of electronic dance music with elements of ,المراب
guarantee,to give a written promise to replace or repair a product free if it goes wrong,to make something certain to happen,ضمان
hook,a curved piece of metal; plastic or wire for hanging things on; catching fish with; etc.,a short hard hit that is made with the ,هوك
implement,to make something that has been officially decided start to happen or be used,,تنفيذ
mall,a large building or covered area that has many shops; restaurants; etc. inside it,,مول
manner,the way that somebody behaves towards other people,many different types of people or things,طريقه
narrow,only just achieved or avoided,,الضيقه
obviously,used when giving information that you expect other people to know already or agree with,used to say that a particular situation or fact is easy to see or understand,الواضح
settle,to make a place your permanent home,to make your permanent home in a country or an area as ,تسويه
smell,to be able to notice and recognize smells,to feel that something exists or is going to happen,رائحه
spiritual,connected with religion,the place where you are happiest; especially a country where you feel you belong more than in your own country because you share the ideas and attitudes of the people who live there,الروحيه
tie,to fasten something to or around something else,to be closed or fastened with a ,التعادل
tip,a small piece of advice about something practical,a secret or expert piece of advice about what the result of a competition; etc. is likely to be; especially about which horse is likely to win a race,تلميح
aggressive,determined and acting with force in order to succeed,using all possible treatment options in order to extend somebody’s life ,العدوانيه
apart,separated by a distance; of space or time,not together; separate or separately,وب صرف النظر عن
attract,to have a sexual or romantic interest in somebody,to make somebody/something come somewhere or take part in something,جذب
bother,used to say that you do not want to spend time and/or energy doing something,in a state of worry or stress because you are under too much pressure; have a problem; are trying to hurry; etc.,عناء
charity,an organization for helping people in need,kind behaviour and sympathy towards other people; especially when you are judging them,الخيريه
disaster,a very bad situation that causes problems,a thing or person that is very likely to cause danger or a problem in the future because of the condition it is in or the way they behave,الكوارث
distinct,easily or clearly heard; seen; felt; etc.,,متميزه
distribute,to spread something; or different parts of something; over an area,,توزيع
ease,lack of difficulty,the state of feeling relaxed or comfortable without worries; problems or pain,سهوله
eastern,connected with the part of the world that is to the east of Europe,,الشرقيه
efficiency,the quality of doing something well with no waste of time or money,the relationship between the amount of energy that goes into a machine or an engine; and the amount that it produces,الكفاءه
emergency,a sudden serious and dangerous event or situation that needs immediate action to deal with it,,الطوارئ
expose,to let somebody find out about something by giving them experience of it or showing them what it is like,,فضح
extension,the act of increasing the area of activity; group of people; etc. that is affected by something,an extra period of time allowed for something,ملحق
extent,how large; important; serious; etc. something is,the physical size of an area,مدي
gather,to come together; or bring people together; in one place to form a group,to collect information from different sources,جمع
grade,a mark given in an exam or for a piece of school work,(in the US school system) one of the levels in a school with children of similar age,الصف
guitar,a musical instrument that usually has six strings and that you play with your fingers or with a ,,الغيتار
loan,the act of lending something; the state of being lent,,القرض
nail,the thin hard layer covering the outer tip of the fingers or toes,a small thin pointed piece of metal with a flat head; used for joining pieces of wood together or hanging things on a wall,مسمار
occasion,a particular time when something happens,a suitable time for something,مناسبه
owe,to have to pay somebody for something that you have already received or return money that you have borrowed,to exist or be successful because of the help or influence of somebody/something,مدين
patient,the person or thing that is affected by the action of the verb. In the sentence ‘I started the car’; the patient is car,,المريض
permission,the act of allowing somebody to do something; especially when this is done by somebody in a position of authority,an official written statement allowing somebody to do something,اذن
prior,happening or existing before something else or before a particular time,already existing and therefore more important,قبل
refrigerator,a piece of electrical equipment in which food is kept cold so that it stays fresh,,الثلاجة
relief,financial help given by the government to people who need it,something that is interesting or fun that replaces something boring; difficult or unpleasant for a short period of time,ارتياح
rough,having a surface that is not even or regular,not exact; not including all details,الخام
stomach,to not want to eat something,to be able to see or do unpleasant things without feeling sick or upset,المعده
strict,that must be obeyed exactly,,صارمه
strike,to hit somebody/something with your hand or a weapon,to hit or kick a ball; etc.,الاضراب
suffer,to experience something unpleasant; such as injury; defeat or loss,to be very impatient with people that you think are stupid,تعاني
towel,a piece of cloth or paper used for drying things; especially your body,to admit that you have been defeated and stop trying,فوطه
truly,used to emphasize that a particular statement; feeling; etc. is sincere or real,used to emphasize a particular quality,حقا
acquire,to gain something by your own efforts; ability or behaviour,to obtain something by buying or being given it,اكتساب
adapt,to change your behaviour in order to deal more successfully with a new situation,to change a book or play so that it can be made into a play; film; television drama; etc.,ERROR
adjust,to move something slightly so that it looks neater or feels more comfortable,used to acknowledge and apologize for something that causes problems or difficulties and ask people to accept and adapt to the situation ,ERROR
altogether,used to introduce a summary when you have mentioned a number of different things,,ERROR
argue,to speak angrily to somebody because you disagree with them,to continue to disagree about a decision; especially when it is too late to change it or it is not very important,ERROR
arise,to happen; to start to exist,to happen as a result of a particular situation,ERROR
aside,to one side; out of the way,to be used later,ERROR
buddy,a friend,used to speak to a man you do not know,ERROR
cabinet,a group of senior members of a government that is responsible for advising and deciding on government policy,a piece of furniture with doors; ,ERROR
church,a building where Christians go to attend services; pray; etc.,a service or services in a church,ERROR
definitely,in a way that is certain or that shows that you are certain,,ERROR
deliberately,done in a way that was planned; not by chance,slowly and carefully,ERROR
habit,a thing that you do often and almost without thinking; especially something that is hard to stop doing,usual behaviour,ERROR
incorporate,to include something so that it forms a part of something,to create a legally recognized company,ERROR
initiative,a new plan for dealing with a particular problem or for achieving a particular purpose,the ability to decide and act on your own without waiting for somebody to tell you what to do,ERROR
league,a group of sports teams who all play each other to earn points and find which team is best,a level of quality; ability; etc.,ERROR
massive,very large; heavy and solid,extremely large or serious,ERROR
mess,a dirty or untidy state,a situation that is full of problems; usually because of a lack of organization or because of mistakes that somebody has made,ERROR
mud,to criticize or say bad things about somebody in public; in a way that is unfair,people remember and believe the bad things they hear about other people; even if they are later shown to be false,ERROR
nasty,unkind; unpleasant,dangerous or serious,ERROR
ought,ERROR,ERROR
poetry,poems in general; poems as a genre of literature,a quality of beauty; style and feeling,ERROR
possess,to have or own something,to make somebody do something that seems strange or unreasonable,ERROR
readily,in a way that shows you do not object to something,,ERROR
relieve,to make something less boring; especially by introducing something different,to free a town; etc. from an enemy army that has surrounded it,ERROR
retain,to continue to hold or contain something,,ERROR
sector,a part of a circle lying between two straight lines drawn from the centre to the edge,,ERROR
shame,the feelings of being sad; embarrassed or guilty that you have when you know that something you have done is wrong or stupid,to be much better than somebody/something,ERROR
shelter,the fact of having a place to live or stay; considered as a basic human need,,ERROR
shoe,one of a pair of objects usually made of leather or plastic that you wear on your feet,to do somebody’s job in an acceptable way when they are not there,ERROR
shut,to refuse to talk to somebody or meet them; in a rude way,to refuse to listen to something,ERROR
significance,the importance of something; especially when this has an effect on what happens in the future,,ERROR
strain,pressure on a system or relationship because great demands are being placed on it,the pressure that is put on something when a physical force stretches; pushes; or pulls it,ERROR
tackle,to make a determined effort to deal with a difficult problem or situation,to try and take the ball from an opponent,ERROR
terribly,very,very much; very badly,ERROR
tight,held or fixed in position securely; difficult to move; open or separate,fitting closely to your body and sometimes uncomfortable,ERROR
appointment,the act of choosing a person for a job or position of responsibility; the fact of being chosen for a job; etc.,a job or position of responsibility,ERROR
bake,to become hard when heated; to make something hard by heating it,,ERROR
bell,an electrical device which makes a ringing sound when a button on it is pushed; the sound that it makes; used as a signal or a warning,used to show that you do not believe what somebody has just said,ERROR
brick,baked ,a plastic or wooden block; used as a toy for young children to build things with,ERROR
clue,to know nothing about something or about how to do something,,ERROR
collar,the part around the neck of a shirt; jacket or coat that usually folds down,a band made of a strong material that is put round something; such as a pipe or a machine; to make it stronger or to join two parts together,ERROR
compete,to take part in a contest or game,to try to be more successful or better than somebody else who is trying to do the same as you,ERROR
concerning,about something; involving somebody/something,,ERROR
desperate,needing or wanting something very much,,ERROR
enthusiasm,a strong feeling of excitement and interest in something and a desire to become involved in it,,ERROR
fear,used to say that you definitely do not want to do something,to make somebody very frightened; especially in order to make them do something,ERROR
fold,to bend something so that it becomes smaller or flatter and can be stored or carried more easily; to bend or be able to bend in this way,to wrap something around somebody/something,ERROR
forth,towards a place; forwards,from one place to another and back again repeatedly,ERROR
grab,to take or hold somebody/something with your hand suddenly or roughly,to take a picture from a television or video film; or from a computer screen; and store it as an image on a computer,ERROR
gross,very rude,very fat and ugly,ERROR
hall,a space or passage inside the entrance or front door of a building,,ERROR
historian,a person who studies or writes about history; an expert in history,,ERROR
injury,to make a bad relationship with somebody worse by offending them even more,,ERROR
investigate,to carefully examine the facts of a situation; an event; a crime; etc. to find out the truth about it or how it happened,,ERROR
mortgage,a legal agreement by which a bank or similar organization lends you money to buy a house; etc.; and you pay the money back over a particular number of years; the sum of money that you borrow,,ERROR
negotiate,to arrange or agree something by formal discussion,,ERROR
panic,a situation in which people are made to feel very anxious or frightened; causing them to act quickly and without thinking carefully,,ERROR
perception,an idea; a belief or an image you have as a result of how you see or understand something,the ability to understand the true nature of something,ERROR
permit,to make something possible,,ERROR
pie,used to say that something is typical of America,very easy or very easily,ERROR
presence,the fact of being in a particular place,the fact of being in a particular place or thing,ERROR
retire,to leave your job and stop working; especially because you have reached a particular age or because you are ill; to tell somebody they must stop doing their job,to leave a place; especially to go somewhere quieter or more private,ERROR
rid,to be free of somebody/something that has been annoying you or that you do not want,,ERROR
sink,to go down below the surface or towards the bottom of a liquid or soft substance,to damage a boat or ship so that it goes below the surface of the sea; etc.,ERROR
slip,to slide a short distance by accident so that you fall or nearly fall,to go somewhere quickly and quietly; especially without being noticed,ERROR
spare,available to do what you want with rather than work,thin; and usually quite tall,ERROR
spite,a feeling of wanting to hurt or upset somebody,if you say that somebody did something in spite of,ERROR
spray,a substance that is forced out of a container such as an ,an attractive arrangement of flowers or jewellery; that you wear,ERROR
suspect,to have an idea that something is probably true or likely to happen; especially something bad; but without having definite proof,to feel that something is not completely right; legal or honest; without having any proof; to not trust something,ERROR
yard,an area outside a building; usually with a hard surface and a surrounding wall,an area of land used for a special purpose or business,ERROR
anxious,causing worry; showing worry,wanting something very much,ERROR
bend,if you bend,to force something that was straight into an angle or a curve,ERROR
courage,to force yourself to be brave enough to do something,to make yourself do something that you are afraid of,ERROR
curious,strange and unusual,,ERROR
garbage,waste food; paper; etc. that you throw away,a place or container where waste food; paper; etc. can be placed,ERROR
grocery,a shop that sells food and other things used in the home. In American English ‘grocery store,,ERROR
harm,in a safe place where somebody/something cannot be hurt or injured or do any damage to somebody/something,,ERROR
impression,the effect that an experience or a person has on somebody/something,a clever or funny copy of the way a person acts or speaks,ERROR
impressive,making you admire them; because they are very large; good; ,,ERROR
improvement,the act of making something better; the process of something becoming better,a change in something that makes it better; something that is better than it was before,ERROR
inspection,an official visit to a school; factory; etc. in order to check that rules are being obeyed and that standards are acceptable,the act of looking closely at something/somebody; especially to check that everything is as it should be,ERROR
inspector,a person whose job is to visit schools; factories; etc. to check that rules are being obeyed and that standards are acceptable,,ERROR
witness,a person who sees something happen and is able to describe it to other people,a person who gives evidence in court,ERROR
